zipcode,poname,primaryruca,urbanicity,tract_geoid,weight,tract_name,median_income,total_population,white_population,black_population,asian_population,state,county,tract,white_pct,black_pct,asian_pct,mean_download_mbps,median_download_mbps,speed_std_mbps,mean_latency_ms,test_count,fcc_reported_mbps,speed_gap_mbps
94571,Rio Vista,7,Rural,06095253502,1.0,Census Tract 2535.02; Solano County; California,83856.0,4559.0,3035.0,583.0,82.0,6,95,253502,0.665716165825839,0.1278789208159684,0.0179864005264312,37.28724882733396,15.19006456782972,69.02766361208545,28.57334419551935,491.0,2000.0,1984.8099354321703
95608,Carmichael,1,Urban,06067007602,1.0,Census Tract 76.02; Sacramento County; California,69792.0,4972.0,3090.0,732.0,282.0,6,67,7602,0.6214802896218825,0.1472244569589702,0.0567176186645213,118.6092934356032,61.62830526658988,134.19563263109615,17.85560611431103,13542.0,2000.0,1938.37169473341
95610,Citrus Heights,1,Urban,06067008120,1.0,Census Tract 81.20; Sacramento County; California,90556.0,5468.0,3885.0,107.0,141.0,6,67,8120,0.7104974396488661,0.019568397951719,0.0257863935625457,122.25369633314564,67.04845585829662,133.59840005759168,17.284734607608897,16323.0,2000.0,1932.9515441417034
95615,Courtland,2,Suburban,06067009900,1.0,Census Tract 99; Sacramento County; California,76034.0,3808.0,1681.0,0.0,189.0,6,67,9900,0.4414390756302521,0.0,0.0496323529411764,49.15018051573957,40.88586460029609,45.657596924824446,26.445846153846155,13.0,2000.0,1959.1141353997039
95621,Citrus Heights,1,Urban,06067008111,1.0,Census Tract 81.11; Sacramento County; California,91630.0,6297.0,4751.0,69.0,339.0,6,67,8111,0.7544862632999841,0.0109575988565983,0.0538351595998094,124.13541697984772,72.54320680494504,135.38511146494147,15.20827251621714,14645.0,2000.0,1927.456793195055
95624,Elk Grove,1,Urban,06067009307,1.0,Census Tract 93.07; Sacramento County; California,120266.0,5483.0,2882.0,380.0,840.0,6,67,9307,0.525624658033923,0.0693051249316067,0.1532008024803939,139.083429027916,84.81866913327168,144.84508881329458,31.12684741382321,28633.0,2000.0,1915.1813308667283
95626,Elverta,1,Urban,06067007206,1.0,Census Tract 72.06; Sacramento County; California,99265.0,4128.0,2948.0,30.0,93.0,6,67,7206,0.7141472868217055,0.0072674418604651,0.0225290697674418,74.31522416352703,33.46219121918509,102.70192719843419,23.358160194174758,206.0,2000.0,1966.5378087808149
95628,Fair Oaks,1,Urban,06067008008,1.0,Census Tract 80.08; Sacramento County; California,108021.0,4935.0,3200.0,195.0,213.0,6,67,8008,0.6484295845997974,0.0395136778115501,0.043161094224924,130.3447726681155,73.51876012330635,139.12110375721377,25.627838564692016,13572.0,2000.0,1926.4812398766937
95630,Folsom,1,Urban,06067008402,1.0,Census Tract 84.02; Sacramento County; California,113686.0,6223.0,4366.0,270.0,561.0,6,67,8402,0.7015908725695003,0.0433874337136429,0.0901494456050136,126.55595292785569,49.525827963341214,145.0682708450783,17.08842404581681,24969.0,2000.0,1950.4741720366587
95632,Galt,2,Suburban,06067009410,1.0,Census Tract 94.10; Sacramento County; California,85665.0,6610.0,3326.0,22.0,486.0,6,67,9410,0.5031770045385779,0.0033282904689863,0.0735249621785174,114.45488230123067,48.72390798213981,136.53100946129933,18.785136789341777,7581.0,2000.0,1951.2760920178603
95638,Herald,10,Rural,06067009406,1.0,Census Tract 94.06; Sacramento County; California,107679.0,2452.0,1480.0,151.0,98.0,6,67,9406,0.6035889070146819,0.0615823817292006,0.0399673735725938,111.34376251224607,37.92812232020581,133.2114110862749,21.32828,25.0,,
95639,Hood,2,Suburban,06067009900,1.0,Census Tract 99; Sacramento County; California,76034.0,3808.0,1681.0,0.0,189.0,6,67,9900,0.4414390756302521,0.0,0.0496323529411764,19.067468741704133,19.067468741704133,11.29977050642645,22.823999999999998,2.0,2000.0,1980.932531258296
95640,Ione,7,Rural,06005000303,1.0,Census Tract 3.03; Amador County; California,64174.0,6471.0,5363.0,6.0,35.0,6,5,303,0.8287745325297481,0.000927213722763,0.005408746716118,35.738021212221696,16.739180640472743,45.516741164295915,22.318996875,320.0,1200.0,1183.2608193595272
95641,Isleton,10,Rural,06067009800,1.0,Census Tract 98; Sacramento County; California,72031.0,2062.0,1080.0,35.0,23.0,6,67,9800,0.5237633365664404,0.0169738118331716,0.0111542192046556,54.28389551592437,23.80620204649615,68.02537038729395,27.58648051948052,77.0,,
95652,McClellan,1,Urban,06067007301,1.0,Census Tract 73.01; Sacramento County; California,54122.0,5450.0,2092.0,499.0,514.0,6,67,7301,0.3838532110091743,0.0915596330275229,0.0943119266055045,207.29683028353304,153.4077847155885,128.94787218094172,126.61565384615385,26.0,2000.0,1846.5922152844114
95655,Mather,1,Urban,06067008803,1.0,Census Tract 88.03; Sacramento County; California,73250.0,2203.0,1588.0,270.0,63.0,6,67,8803,0.7208352246935996,0.1225601452564684,0.0285973672265093,173.47034773723422,100.14195616299618,173.28484117143717,21.64044117647059,68.0,2000.0,1899.8580438370038
95660,North Highlands,1,Urban,06067007301,1.0,Census Tract 73.01; Sacramento County; California,54122.0,5450.0,2092.0,499.0,514.0,6,67,7301,0.3838532110091743,0.0915596330275229,0.0943119266055045,111.51980024083991,45.80807469126409,141.40062525159874,31.62074681933842,6288.0,2000.0,1954.191925308736
95661,Roseville,1,Urban,06061020711,1.0,Census Tract 207.11; Placer County; California,92969.0,4784.0,3380.0,104.0,391.0,6,61,20711,0.7065217391304348,0.0217391304347826,0.0817307692307692,132.84861771621638,51.4140702847273,155.9787264376737,17.082119528915452,5689.0,2000.0,1948.5859297152726
95662,Orangevale,1,Urban,06067008203,1.0,Census Tract 82.03; Sacramento County; California,92143.0,5163.0,4124.0,4.0,140.0,6,67,8203,0.7987604106139842,0.0007747433662599,0.0271160178190974,149.73612975412468,98.48476483932468,135.86948563692522,17.73997926675095,3955.0,2000.0,1901.5152351606753
95670,Rancho Cordova,1,Urban,06067008908,1.0,Census Tract 89.08; Sacramento County; California,61774.0,5027.0,2609.0,336.0,365.0,6,67,8908,0.5189974139645912,0.0668390690272528,0.0726079172468669,113.40096632012114,62.3952049488013,129.39782940159148,19.3275319989229,11141.0,2000.0,1937.6047950511986
