tract_name,median_income,total_population,white_population,black_population,asian_population,state,county,tract,tract_geoid,white_pct,black_pct,asian_pct
Census Tract 1; Sacramento County; California,120694,3813,2834,75,203,06,067,000100,06067000100,0.7432467873065828,0.01966955153422502,0.05323891948596905
Census Tract 2; Sacramento County; California,157109,3901,2938,38,235,06,067,000200,06067000200,0.7531402204562933,0.009741092027685208,0.060240963855421686
Census Tract 3; Sacramento County; California,143774,3429,2565,99,142,06,067,000300,06067000300,0.7480314960629921,0.028871391076115485,0.04141149023038787
Census Tract 4; Sacramento County; California,105531,3973,2470,57,335,06,067,000400,06067000400,0.6216964510445507,0.01434684117795117,0.0843191542914674
Census Tract 5.01; Sacramento County; California,83523,1837,1034,130,140,06,067,000501,06067000501,0.562874251497006,0.07076755579749591,0.07621121393576484
Census Tract 5.02; Sacramento County; California,88125,1683,1072,116,166,06,067,000502,06067000502,0.6369578134284016,0.0689245395127748,0.09863339275103981
Census Tract 6; Sacramento County; California,67353,1525,918,99,146,06,067,000600,06067000600,0.6019672131147541,0.06491803278688525,0.09573770491803278
Census Tract 7; Sacramento County; California,16707,2834,826,938,418,06,067,000700,06067000700,0.29146083274523643,0.33098094565984476,0.14749470712773466
Census Tract 8; Sacramento County; California,58929,1519,818,131,273,06,067,000800,06067000800,0.5385121790651745,0.08624094799210007,0.17972350230414746
Census Tract 11.02; Sacramento County; California,76125,1871,930,140,198,06,067,001102,06067001102,0.49706039551042225,0.07482629609834313,0.10582576162479958
Census Tract 11.03; Sacramento County; California,41051,1441,868,229,125,06,067,001103,06067001103,0.6023594725884802,0.1589174184594032,0.08674531575294935
Census Tract 12.01; Sacramento County; California,76380,2632,1484,196,411,06,067,001201,06067001201,0.5638297872340425,0.07446808510638298,0.1561550151975684
Census Tract 12.02; Sacramento County; California,81929,2070,1255,232,295,06,067,001202,06067001202,0.606280193236715,0.11207729468599034,0.14251207729468598
Census Tract 13; Sacramento County; California,60057,3704,2132,242,251,06,067,001300,06067001300,0.5755939524838013,0.06533477321814254,0.0677645788336933
Census Tract 14; Sacramento County; California,64724,2737,1707,226,152,06,067,001400,06067001400,0.6236755571793935,0.08257215929850201,0.055535257581293386
Census Tract 15; Sacramento County; California,137787,4900,3855,69,436,06,067,001500,06067001500,0.786734693877551,0.014081632653061225,0.08897959183673469
Census Tract 16.01; Sacramento County; California,121250,3199,2197,54,172,06,067,001601,06067001601,0.6867771178493279,0.016880275085964364,0.05376680212566427
Census Tract 16.02; Sacramento County; California,146328,2398,1796,0,166,06,067,001602,06067001602,0.7489574645537949,0.0,0.06922435362802336
Census Tract 17.01; Sacramento County; California,75577,1859,911,109,312,06,067,001701,06067001701,0.4900484131253362,0.0586336740182894,0.16783216783216784
Census Tract 17.02; Sacramento County; California,84375,4007,2939,102,293,06,067,001702,06067001702,0.7334664337409533,0.02545545295732468,0.07312203643623659
Census Tract 18; Sacramento County; California,69181,5572,2485,652,790,06,067,001800,06067001800,0.44597989949748745,0.11701363962670495,0.14178033022254127
Census Tract 19; Sacramento County; California,90217,3316,2294,116,247,06,067,001900,06067001900,0.6917973462002412,0.03498190591073583,0.07448733413751508
Census Tract 20; Sacramento County; California,78523,3039,1753,41,583,06,067,002000,06067002000,0.5768344850279697,0.01349128002632445,0.1918394208621257
Census Tract 21; Sacramento County; California,54761,2711,859,406,809,06,067,002100,06067002100,0.31685724824787903,0.149760236075249,0.2984138694208779
Census Tract 22; Sacramento County; California,111667,4724,2078,311,453,06,067,002200,06067002200,0.4398814563928874,0.06583403895004233,0.09589331075359865
Census Tract 23; Sacramento County; California,146875,3306,2386,97,161,06,067,002300,06067002300,0.7217180883242589,0.029340592861464006,0.04869933454325469
Census Tract 24; Sacramento County; California,153945,4878,3345,33,219,06,067,002400,06067002400,0.6857318573185732,0.006765067650676507,0.04489544895448955
Census Tract 25; Sacramento County; California,163542,2280,1816,90,101,06,067,002500,06067002500,0.7964912280701755,0.039473684210526314,0.04429824561403509
Census Tract 26; Sacramento County; California,102440,2778,1941,187,180,06,067,002600,06067002600,0.6987041036717062,0.06731461483081354,0.06479481641468683
Census Tract 27; Sacramento County; California,63464,3538,1827,369,507,06,067,002700,06067002700,0.5163934426229508,0.10429621254946297,0.14330130016958734
Census Tract 28; Sacramento County; California,64917,3035,880,835,310,06,067,002800,06067002800,0.2899505766062603,0.2751235584843493,0.10214168039538715
Census Tract 29; Sacramento County; California,94359,5155,3093,60,599,06,067,002900,06067002900,0.6,0.011639185257032008,0.11619786614936954
