zipcode,poname,primaryruca,urbanicity
95608,Carmichael,1,Urban
95612,Clarksburg,1,Urban
95620,Dixon,4,Rural
95624,Elk Grove,1,Urban
95626,Elverta,1,Urban
95628,Fair Oaks,1,Urban
95655,Mather,1,Urban
95670,Rancho Cordova,1,Urban
95673,Rio Linda,1,Urban
95691,West Sacramento,1,Urban
95758,Elk Grove,1,Urban
95815,Sacramento,1,Urban
95822,Sacramento,1,Urban
95823,Sacramento,1,Urban
95826,Sacramento,1,Urban
95827,Sacramento,1,Urban
95828,Sacramento,1,Urban
95829,Sacramento,1,Urban
95832,Sacramento,1,Urban
95833,Sacramento,1,Urban
95834,Sacramento,1,Urban
95835,Sacramento,1,Urban
95837,Sacramento,2,Suburban
95838,Sacramento,1,Urban
