zipcode,tract_geoid,weight
94571,06095253502,1.0
95608,06067007602,1.0
95610,06067008120,1.0
95615,06067009900,1.0
95621,06067008111,1.0
95624,06067009307,1.0
95626,06067007206,1.0
95628,06067008008,1.0
95630,06067008402,1.0
95632,06067009410,1.0
95638,06067009406,1.0
95639,06067009900,1.0
95640,06005000303,1.0
95641,06067009800,1.0
95652,06067007301,1.0
95655,06067008803,1.0
95660,06067007301,1.0
95661,06061020711,1.0
95662,06067008203,1.0
95670,06067008908,1.0
95671,06067008210,1.0
95673,06067007209,1.0
95678,06061021003,1.0
95680,06067009900,1.0
95683,06067008601,1.0
95690,06067009900,1.0
95693,06067009404,1.0
95742,06067008706,1.0
95757,06067009632,1.0
95758,06067009643,1.0
95762,06017030710,1.0
95811,06067001103,1.0
95814,06067001103,1.0
95815,06067006902,1.0
95816,06067001400,1.0
95817,06067001800,1.0
95818,06067002300,1.0
95819,06067000200,1.0
95820,06067003002,1.0
95821,06067006101,1.0
95822,06067003800,1.0
95823,06067004910,1.0
95824,06067004604,1.0
95825,06067005506,1.0
95826,06067009109,1.0
95827,06067009004,1.0
95828,06067005101,1.0
95829,06067009311,1.0
95830,06067009201,1.0
95831,06067004018,1.0
95832,06067009601,1.0
95833,06067007011,1.0
95834,06067007028,1.0
95835,06067007106,1.0
95836,06067007101,1.0
95837,06067007101,1.0
95838,06067006501,1.0
95841,06067007501,1.0
95842,06067007416,1.0
95843,06067007430,1.0
95864,06067005702,1.0
